unique_id,session_group_id,monkey,date,experiment_pc_name,probe_type,brain_area,channel_numbers,channel_ordering,raw_filename_base,dat_status,behavior_status,kilosort_status,consolidation_status,tokens original task,tokens AV task,attention task,gSac_4factors,gSac_jph,screening_status,dataprep_status,analysis_status,notes
Feynman_08_05_2025_SNc,Feynman_08_05_2025,Feynman,08_05_2025,pldaps2,nnVector,SNc,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],feynman_08052025_01,complete,complete,complete,complete,1,0,0,0,0,pending,pending,pending,Basic tokens task only (not the AV version)
Feynman_08_06_2025_SNc,Feynman_08_06_2025,Feynman,08_06_2025,pldaps2,nnVector,SNc,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],feynman_08062025_01,complete,complete,complete,complete,1,0,0,0,0,pending,pending,pending,Basic tokens task only (not the AV version)
Feynman_08_07_2025_SNc,Feynman_08_07_2025,Feynman,08_07_2025,pldaps2,nnVector,SNc,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],feynman_08072025_01,complete,complete,complete,complete,1,0,0,0,0,pending,pending,pending,Basic tokens task only (not the AV version)
Feynman_08_08_2025_SNc,Feynman_08_08_2025,Feynman,08_08_2025,pldaps2,nnVector,SNc,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],feynman_08082025_01,complete,complete,complete,complete,1,0,0,0,0,pending,pending,pending,Basic tokens task only (not the AV version)
Feynman_08_11_2025_SNc,Feynman_08_11_2025,Feynman,08_11_2025,pldaps2,nnVector,SNc,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],feynman_08112025_01,complete,complete,complete,complete,1,0,0,0,0,pending,pending,pending,Basic tokens task only (not the AV version)
Feynman_08_12_2025_SNc,Feynman_08_12_2025,Feynman,08_12_2025,pldaps2,nnVector,SNc,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],feynman_08122025_01,complete,complete,complete,complete,0,1,0,1,1,pending,pending,pending,AV tokens task and 4factors
Feynman_08_12_2025_SC,Feynman_08_12_2025,Feynman,08_12_2025,pldaps2,nnVector,SC,33:64,[17:2:31 18:2:32 2:2:16 1:2:15],feynman_08122025_01,complete,complete,complete,complete,0,1,0,1,1,pending,pending,pending,AV tokens task and 4factors
Feynman_08_13_2025_SNc,Feynman_08_13_2025,Feynman,08_13_2025,pldaps2,nnVector,SNc,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],feynman_08132025_01,complete,complete,complete,complete,0,1,0,1,1,pending,pending,pending,AV tokens task and 4factors
Feynman_08_13_2025_SC,Feynman_08_13_2025,Feynman,08_13_2025,pldaps2,vProbe,SC,33:64,"[32:-2:2, 31:-2:1]",feynman_08132025_01,complete,complete,complete,complete,0,1,0,1,1,pending,pending,pending,AV tokens task and 4factors
Feynman_08_14_2025_SNc,Feynman_08_14_2025,Feynman,08_14_2025,pldaps2,nnVector,SNc,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],feynman_08142025_01,complete,complete,complete,complete,0,1,0,1,1,pending,pending,pending,AV tokens task and 4factors
Feynman_08_14_2025_SC,Feynman_08_14_2025,Feynman,08_14_2025,pldaps2,vProbe,SC,33:64,"[32:-2:2, 31:-2:1]",feynman_08142025_01,complete,complete,complete,complete,0,1,0,1,1,pending,pending,pending,AV tokens task and 4factors
Feynman_08_15_2025_SNc,Feynman_08_15_2025,Feynman,08_15_2025,pldaps2,nnVector,SNc,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],feynman_08152025_01,complete,complete,complete,complete,0,1,0,1,1,pending,pending,pending,AV tokens task and 4factors
Feynman_08_15_2025_SC,Feynman_08_15_2025,Feynman,08_15_2025,pldaps2,vProbe,SC,33:64,"[32:-2:2, 31:-2:1]",feynman_08152025_01,complete,complete,complete,complete,0,1,0,1,1,pending,pending,pending,AV tokens task and 4factors
Newton_08_13_2025_SC,Newton_08_13_2025,Newton,08_13_2025,pldaps1,nnVector,SC,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],newton_08132025_01,complete,complete,complete,complete,0,0,1,1,1,pending,pending,pending,Attention task and 4factors tasks
Newton_08_14_2025_SC,Newton_08_14_2025,Newton,08_14_2025,pldaps1,nnVector,SC,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],newton_08142025_01,complete,complete,complete,complete,0,0,1,1,1,pending,pending,pending,Attention task and 4factors tasks
Newton_08_15_2025_SC,Newton_08_15_2025,Newton,08_15_2025,pldaps1,nnVector,SC,1:32,[17:2:31 18:2:32 2:2:16 1:2:15],newton_08152025_01,complete,complete,complete,complete,0,0,1,1,1,pending,pending,pending,Attention task and 4factors tasks
